domain,feature,best_source,target_treatment,priority
foundation,Core CRM records,SeaRM,keep,P0
foundation,Metadata-defined custom objects and relations,SeaRM,keep,P0
foundation,AI-readable custom field schema,Relaticle,port,P1
foundation,Views layouts and dashboards,SeaRM,keep,P0
foundation,Guided import and relationship matching,Relaticle,port,P1
foundation,Dedupe and identity resolution,CRM and crmkit,port,P1
foundation,Actor principal and field-diff audit,crmkit and SeaRM,port,P1
sales,Multiple pipelines and stages,SeaRM,keep,P0
sales,Email calendar and connected-account sync,SeaRM,keep,P0
sales,Outreach and staleness signals,crmkit,port,P1
sales,Call and meeting intelligence,SeaRM apps,keep,P1
workflow,Visual workflow engine,SeaRM,keep,P0
workflow,Database cron webhook and manual triggers,SeaRM,keep,P0
workflow,Branch loop delay HTTP code and record actions,SeaRM,keep,P0
workflow,Human approval action,Relaticle,port,P1
workflow,Durable leased agent work,CRM,port,P1
ai,Record and global assistant,SeaRM and Relaticle,extend,P1
ai,Autonomous scheduled research,CRM,port,P1
ai,Evidence ledger and sourced facts,CRM,port,P1
ai,Fact conflict and freshness review,CRM,port,P1
ai,Batch proposal approval,Relaticle,port,P1
ai,Durable record transcript,CRM,port,P1
ai,Agent-safe instructive errors,crmkit,port,P1
ai,MCP OAuth connector,crmkit and Relaticle,port,P1
ai,Compact text representation,crmkit,port,P2
ai,Two-step destructive actions,crmkit,port,P1
ai,Sandboxed deny-by-default execution,CRM,port,P1
enterprise,Workspaces members permissions and invitations,SeaRM,keep,P0
enterprise,SSO 2FA domains and sessions,SeaRM,keep,P0
enterprise,Agent principals and scoped tokens,crmkit and SeaRM,port,P1
enterprise,Usage quotas billing and AI cost ledger,SeaRM and Relaticle,extend,P1
enterprise,Localization and timezone-safe tools,SeaRM and crmkit,extend,P1
solutions,Customer support,crmkit,app,P2
solutions,Target-account campaigns,crmkit,app,P2
solutions,Market monitoring,CRM and crmkit,app,P2
solutions,Fundraising,crmkit,app,P2
solutions,Events and conferences,crmkit,app,P2
